"STATISTIC Label","Year","Type of Animal","UNIT","VALUE"
"Farm Animals in December","2014","Sows in pig","Thousand","82.5"
"Farm Animals in December","2014","Other sows for breeding","Thousand","28.3"
"Farm Animals in December","2014","Gilts not yet served","Thousand","15.2"
"Farm Animals in December","2014","Boars","Thousand","1.5"
"Farm Animals in December","2014","Other pigs","Thousand","1358.6"
"Farm Animals in December","2014","Other pigs: 20kg and under 50kg","Thousand","384.5"
"Farm Animals in December","2014","Other pigs: 50kg and under 80kg","Thousand","296.8"
"Farm Animals in December","2014","Other pigs: 80kg and over","Thousand","238.2"
"Farm Animals in December","2014","Other pigs: under 20kg","Thousand","439"
"Farm Animals in December","2015","Total cattle","Thousand","6422.2"
"Farm Animals in December","2015","Cows","Thousand","2293.1"
"Farm Animals in December","2015","Dairy cows","Thousand","1239.9"
"Farm Animals in December","2015","Other cows","Thousand","1053.2"
"Farm Animals in December","2015","Bulls","Thousand","52.7"
"Farm Animals in December","2015","Cattle: 2 years and over","Thousand","401.6"
"Farm Animals in December","2015","Cattle male: 2 years and over","Thousand","160.3"
"Farm Animals in December","2015","Cattle female: 2 years and over","Thousand","241.3"
"Farm Animals in December","2015","Cattle: 1-2 years","Thousand","1649.2"
"Farm Animals in December","2015","Cattle male: 1-2 years","Thousand","751.9"
"Farm Animals in December","2015","Cattle female: 1-2 years","Thousand","897.3"
"Farm Animals in December","2015","Cattle: under 1 year","Thousand","2025.7"
"Farm Animals in December","2015","Cattle male: under 1 year","Thousand","982"
"Farm Animals in December","2015","Cattle female: under 1 year","Thousand","1043.7"
"Farm Animals in December","2015","Total cattle: male","Thousand","1946.9"
"Farm Animals in December","2015","Total cattle: female","Thousand","4475.4"
"Farm Animals in December","2015","Total sheep","Thousand","3324.8"
"Farm Animals in December","2015","Breeding sheep","Thousand","2485.9"
"Farm Animals in December","2015","Ewes","Thousand","2412.3"
"Farm Animals in December","2015","Ewes: 2 years and over","Thousand","1946.4"
"Farm Animals in December","2015","Ewes: under 2 years","Thousand","465.9"
"Farm Animals in December","2015","Rams","Thousand","73.5"
"Farm Animals in December","2015","Other sheep","Thousand","839"
"Farm Animals in December","2015","Total pigs","Thousand","1474.5"
"Farm Animals in December","2015","Breeding pigs","Thousand","140.1"
"Farm Animals in December","2015","Gilts in pig","Thousand","19.9"
"Farm Animals in December","2015","Sows in pig","Thousand","78.4"
"Farm Animals in December","2015","Other sows for breeding","Thousand","26"
"Farm Animals in December","2015","Gilts not yet served","Thousand","14.6"
"Farm Animals in December","2015","Boars","Thousand","1.3"
"Farm Animals in December","2015","Other pigs","Thousand","1334.4"
"Farm Animals in December","2015","Other pigs: 20kg and under 50kg","Thousand","396.9"
"Farm Animals in December","2015","Other pigs: 50kg and under 80kg","Thousand","290.3"
"Farm Animals in December","2015","Other pigs: 80kg and over","Thousand","239.2"
"Farm Animals in December","2015","Other pigs: under 20kg","Thousand","408"
"Farm Animals in December","2016","Total cattle","Thousand","6613.4"
"Farm Animals in December","2016","Cows","Thousand","2337.3"
"Farm Animals in December","2016","Dairy cows","Thousand","1295.2"
"Farm Animals in December","2016","Other cows","Thousand","1042"
"Farm Animals in December","2016","Bulls","Thousand","53.6"
"Farm Animals in December","2016","Cattle: 2 years and over","Thousand","379"
"Farm Animals in December","2016","Cattle male: 2 years and over","Thousand","139.7"
"Farm Animals in December","2016","Cattle female: 2 years and over","Thousand","239.3"
"Farm Animals in December","2016","Cattle: 1-2 years","Thousand","1767.1"
"Farm Animals in December","2016","Cattle male: 1-2 years","Thousand","813.4"
"Farm Animals in December","2016","Cattle female: 1-2 years","Thousand","953.6"
"Farm Animals in December","2016","Cattle: under 1 year","Thousand","2076.5"
"Farm Animals in December","2016","Cattle male: under 1 year","Thousand","1011.3"
"Farm Animals in December","2016","Cattle female: under 1 year","Thousand","1065.3"
"Farm Animals in December","2016","Total cattle: male","Thousand","2018"
"Farm Animals in December","2016","Total cattle: female","Thousand","4595.5"
"Farm Animals in December","2016","Total sheep","Thousand","3438.2"
"Farm Animals in December","2016","Breeding sheep","Thousand","2479.7"
"Farm Animals in December","2016","Ewes","Thousand","2405.2"
"Farm Animals in December","2016","Ewes: 2 years and over","Thousand","1934.3"
"Farm Animals in December","2016","Ewes: under 2 years","Thousand","470.9"
"Farm Animals in December","2016","Rams","Thousand","74.6"
"Farm Animals in December","2016","Other sheep","Thousand","958.5"
"Farm Animals in December","2016","Total pigs","Thousand","1527.8"
"Farm Animals in December","2016","Breeding pigs","Thousand","146.6"
"Farm Animals in December","2016","Gilts in pig","Thousand","18.8"
"Farm Animals in December","2016","Sows in pig","Thousand","78.9"
"Farm Animals in December","2016","Other sows for breeding","Thousand","32"
"Farm Animals in December","2016","Gilts not yet served","Thousand","15.7"
"Farm Animals in December","2016","Boars","Thousand","1.2"
"Farm Animals in December","2016","Other pigs","Thousand","1381.2"
"Farm Animals in December","2016","Other pigs: 20kg and under 50kg","Thousand","409.9"
"Farm Animals in December","2016","Other pigs: 50kg and under 80kg","Thousand","285.5"
"Farm Animals in December","2016","Other pigs: 80kg and over","Thousand","259.6"
"Farm Animals in December","2016","Other pigs: under 20kg","Thousand","426.2"
"Farm Animals in December","2017","Total cattle","Thousand","6673.6"
"Farm Animals in December","2017","Cows","Thousand","2361.6"
"Farm Animals in December","2017","Dairy cows","Thousand","1343.3"
"Farm Animals in December","2017","Other cows","Thousand","1018.3"
"Farm Animals in December","2017","Bulls","Thousand","53.8"
"Farm Animals in December","2017","Cattle: 2 years and over","Thousand","390.8"
"Farm Animals in December","2017","Cattle male: 2 years and over","Thousand","143"
