"Number of livestock by Municipality, Livestock, Type and Year"

"Municipality","Livestock","Number of livestock 2018","Number of livestock 2019","Number of livestock 2020","Number of livestock 2021","Number of livestock 2022"
"Malësi e Madhe","Sheep",14600,14100,11137,11471,11468
"Malësi e Madhe","Milked sheep",10250,9560,9850,10146,10126
"Malësi e Madhe","Goats",17060,16130,5650,5820,5825
"Malësi e Madhe","Milked goats",13200,12740,5035,5186,5188
"Malësi e Madhe","Pigs",9200,9200,2752,2835,2815
"Malësi e Madhe","Sows",360,360,235,242,238
"Malësi e Madhe","Equidae",1350,1350,818,843,836
"Malësi e Madhe","Poultry ",229600,229600,190723,195466,195480
"Malësi e Madhe","Laying hens",225000,225000,185720,195003,195125
"Malësi e Madhe","Turkeys",400,400,450,425,0
"Malësi e Madhe","Beehives",7200,7200,7828,8063,8024
"Maliq","Cattle",9999,9999,10000,9500,9500
"Maliq","Cows",8032,8032,8050,8000,8000
"Maliq","Sheep/Goats",93221,93221,93800,93900,93900
"Maliq","Sheep",74120,74120,74800,75000,75000
"Maliq","Milked sheep",60478,60478,60600,60000,60100
"Maliq","Goats",19101,19101,19000,18900,18900
"Maliq","Milked goats",15443,15443,15400,15200,15200
"Maliq","Pigs",2339,2339,2400,2000,1700
