           ﻿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2017;Tahun;159546;JAMBI
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2017;Tahun;277085;"SUMATERA SELATAN"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2017;Tahun;125483;BENGKULU
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2017;Tahun;674928;LAMPUNG
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2017;Tahun;12644;"KEP. BANGKA BELITUNG"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2017;Tahun;19270;"KEP. RIAU"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2017;Tahun;1730;"DKI JAKARTA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2017;Tahun;405334;"JAWA BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2017;Tahun;1710769;"JAWA TENGAH"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2017;Tahun;309960;"DI YOGYAKARTA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2017;Tahun;4511613;"JAWA TIMUR"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2017;Tahun;56658;BANTEN
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2017;Tahun;507794;BALI
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2017;Tahun;1149539;"NUSA TENGGARA BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2017;Tahun;1007608;"NUSA TENGGARA TIMUR"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2017;Tahun;167314;"KALIMANTAN BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2017;Tahun;81993;"KALIMANTAN TENGAH"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2017;Tahun;164219;"KALIMANTAN SELATAN"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2017;Tahun;119123;"KALIMANTAN TIMUR"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2017;Tahun;22229;"KALIMANTAN UTARA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2017;Tahun;133115;"SULAWESI UTARA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2017;Tahun;353486;"SULAWESI TENGAH"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2017;Tahun;1419018;"SULAWESI SELATAN"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2017;Tahun;370772;"SULAWESI TENGGARA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2017;Tahun;227351;GORONTALO
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2017;Tahun;94015;"SULAWESI BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2017;Tahun;100087;MALUKU
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2017;Tahun;89636;"MALUKU UTARA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2017;Tahun;67706;"PAPUA BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2017;Tahun;117602;PAPUA
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2017;Tahun;16429102;INDONESIA
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2016;Tahun;600759;ACEH
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2016;Tahun;702170;"SUMATERA UTARA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2016;Tahun;403048;"SUMATERA BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2016;Tahun;231860;RIAU
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2016;Tahun;153220;JAMBI
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2016;Tahun;265182;"SUMATERA SELATAN"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2016;Tahun;127083;BENGKULU
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2016;Tahun;665244;LAMPUNG
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2016;Tahun;11604;"KEP. BANGKA BELITUNG"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2016;Tahun;18399;"KEP. RIAU"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2016;Tahun;1371;"DKI JAKARTA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2016;Tahun;413372;"JAWA BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2016;Tahun;1674573;"JAWA TENGAH"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2016;Tahun;309018;"DI YOGYAKARTA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2016;Tahun;4407807;"JAWA TIMUR"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2016;Tahun;55366;BANTEN
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2016;Tahun;546370;BALI
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2016;Tahun;1092719;"NUSA TENGGARA BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2016;Tahun;984508;"NUSA TENGGARA TIMUR"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2016;Tahun;164113;"KALIMANTAN BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2016;Tahun;73424;"KALIMANTAN TENGAH"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2016;Tahun;154147;"KALIMANTAN SELATAN"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2016;Tahun;118712;"KALIMANTAN TIMUR"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2016;Tahun;21643;"KALIMANTAN UTARA"
